date	character	item
2020-08-15	Reneko	Breastplate of Annihilation
2020-08-15	Klesket	Amulet of Foul Warding
2020-08-15	Deaurion	Angelista's Touch
2020-08-15	Jalka	Ooze-ridden Gauntlets
2020-08-15	Deaurion	Gauntlets of Steadfast Determination
2020-08-15	Trollsmet	Robes of the Battleguard
2020-08-15	Yungbanz	Hive Tunneler's Boots
2020-08-15	Reneko	Barbed Choker
2020-08-15	Rövbrytaren	Garb of Royal Ascension
2020-08-22	Ósýnileg	Cloak of Concentrated Hatred
2020-08-22	Anusaukko	Boots of the Redeemed Prophecy
2020-08-22	Xéna	Badge of the Swarmguard
2020-08-22	Firmand	Recomposed Boots
2020-08-22	Wyldfyre	Mantle of Wicked Revenge
2020-08-22	Deaurion	Pauldrons of the Unrelenting
2020-08-22	Wulfrun	Wasphide Gauntlets
2020-08-22	Meche	Imperial Qiraji Armaments
2020-08-22	Meche	Qiraji Bindings of Command
2020-08-22	Ñuup	Qiraji Bindings of Dominance
2020-08-22	Wyldfyre	Ring of Emperor Vek'lor
2020-08-22	Kongs	Vek'lor's Diadem
2020-08-22	Rövbrytaren	Amulet of Vek'nilash
2020-08-22	Sovietgirl	Vek'nilash's Circlet
2020-08-22	Macsonkor	Ritssyn's Ring of Chaos
2020-08-22	Vepaz	Carapace of the Old God
2020-08-22	Piclasa	Husk of the Old God
2020-08-22	Sovietgirl	Eye of C'Thun
2020-08-22	Firmand	Cloak of the Devoured
2020-08-22	Garlick	Cloak of Clarity
2020-08-22	Ñuup	Burrower Bracers
2020-08-22	Snakepala	Skin of the Great Sandworm
2020-08-22	Suncho	Ouro's Intact Hide
2020-08-22	Wyldfyre	Guise of the Devourer
2020-08-22	Youngbans	Gloves of Ebru